id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Carlton London Men Formal Brown Formal Shoes
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops
10861,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Dirt Riders White T-Shirts
10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Flying Machine Men Walnut Brown Tshirts
10096,Women,Footwear,Shoes,Sports Shoes,Blue,Fall,2011,Sports,Reebok Women Reeflex Run Blue Sports Shoes
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011,Casual,United Colors of Benetton Women Solid Grey Dresses
10634,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2012,Formal,Carlton London Men Black Oxford Wingtip Brogues
10250,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Hahk Brown Handbags
10062,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Puma Men Puma runhard tee Grey Tshirts
10857,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Rider Striper Polo White T-Shirts
10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Reglur Black Trousers
10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015,Casual,Clarks Women Brown Leather Heels
